day,month,year,mangrove,regular,closed,healthy,unhealthy,total
15,1,2017,8.9428,6.4716,2.4712,8.9428,0.0,46.2888
25,1,2017,347.5848,114.914,232.6708,347.584,0.0008,993.0768
14,2,2017,125.6592,101.8968,23.7624,125.5828,0.076,667.7408
24,2,2017,318.9032,188.9048,129.9984,318.9024,0.0008,1081.5992
16,3,2017,133.1476,124.4612,8.6864,133.0996,0.0476,930.4024
15,4,2017,3.9824,3.9824,0.0,3.9824,0.0,608.1468
5,5,2017,157.5844,141.5376,16.0468,157.4708,0.1132,849.922
15,5,2017,52.6992,50.7648,1.9344,52.6852,0.014,462.0264
4,6,2017,0.0,0.0,0.0,0.0,0.0,0.0
14,6,2017,255.3556,210.6396,44.716,255.3556,0.0,1086.1636
14,6,2017,255.3556,210.6396,44.716,255.3556,0.0,1086.1636
4,7,2017,27.962,27.962,0.0,27.962,0.0,365.182
14,7,2017,79.658,36.4988,43.1592,79.6572,0.0008,364.062
19,7,2017,0.0744,0.0684,0.006,0.0744,0.0,13.8908
3,8,2017,0.0148,0.0148,0.0,0.0148,0.0,20.3616
13,8,2017,0.0244,0.0176,0.0068,0.0244,0.0,7.66
18,8,2017,0.0,0.0,0.0,0.0,0.0,0.0
2,9,2017,38.356,22.9904,15.3656,38.356,0.0,486.7424
2,10,2017,62.504,28.3904,34.1136,62.504,0.0,711.3464
17,10,2017,210.4476,52.8604,157.5872,210.4476,0.0,866.3004
1,11,2017,122.4448,39.1944,83.2504,122.444,0.0008,590.626
16,11,2017,252.2712,47.1956,205.0756,252.2712,0.0,1086.75
21,11,2017,248.646,50.318,198.328,248.646,0.0,1059.7932
1,12,2017,241.3432,45.0936,196.2496,241.3432,0.0,1081.5356
6,12,2017,242.9908,44.2728,198.718,242.9908,0.0,1084.7412
16,12,2017,2.0212,2.0212,0.0,2.0212,0.0,9.7252
21,12,2017,236.076,95.856,140.22,236.076,0.0,927.5344
31,12,2017,284.0212,123.62,160.4012,284.0212,0.0,1086.5208
5,1,2018,281.3592,170.698,110.6612,281.3592,0.0,1086.7464
15,1,2018,252.0776,131.9884,120.0892,252.0768,0.0008,1086.75
20,1,2018,234.8856,189.0908,45.7948,234.8856,0.0,1086.75
30,1,2018,303.0532,198.5736,104.4796,303.0532,0.0,1073.4544
4,2,2018,0.0,0.0,0.0,0.0,0.0,0.0
14,2,2018,13.4488,13.4488,0.0,13.4452,0.0036,273.084
19,2,2018,337.9576,228.2608,109.6968,337.9576,0.0,1086.6404
6,3,2018,373.9168,327.6852,46.2316,373.9164,0.0004,1085.3756
16,3,2018,75.1336,69.5728,5.5608,75.1336,0.0,320.0388
21,3,2018,320.576,289.1648,31.4112,320.576,0.0,1076.5232
5,4,2018,148.3444,148.34,0.0044,148.3444,0.0,1086.75
20,4,2018,274.1208,255.9172,18.2036,274.1208,0.0,1072.5684
25,4,2018,200.0808,199.8844,0.1964,200.0808,0.0,1085.9084
5,5,2018,118.2524,117.92,0.3324,118.2524,0.0,544.6904
10,5,2018,204.5884,204.116,0.4724,204.5884,0.0,914.2192
